,Ancestry,Donor Category,IUI Number,Date,Mean
0,Asian,ID,0.0,02/28/2022,1220.0
1,Asian,ID,0.0,03/01/2022,1220.0
2,Asian,ID,0.0,03/02/2022,1220.0
3,Asian,ID,0.0,03/03/2022,1220.0
4,Asian,ID,0.0,03/04/2022,1220.0
5,Asian,ID,0.0,03/05/2022,1220.0
6,Asian,ID,0.0,03/06/2022,1220.0
7,Asian,ID,0.0,03/07/2022,1220.0
8,Asian,ID,0.0,03/08/2022,1220.0
9,Asian,ID,0.0,03/09/2022,1220.0
10,Asian,ID,0.0,03/10/2022,1220.0
11,Asian,ID,0.0,03/11/2022,1220.0
12,Asian,ID,0.0,03/12/2022,1220.0
13,Asian,ID,0.0,03/13/2022,1220.0
14,Asian,ID,0.0,03/14/2022,1220.0
15,Asian,ID,0.0,03/15/2022,1220.0
16,Asian,ID,0.0,03/16/2022,1220.0
17,Asian,ID,0.0,03/17/2022,1220.0
18,Asian,ID,0.0,03/18/2022,1220.0
19,Asian,ID,0.0,03/19/2022,1220.0
20,Asian,ID,0.0,03/20/2022,1220.0
21,Asian,ID,0.0,03/21/2022,1220.0
22,Asian,ID,1.0,02/28/2022,1220.0
23,Asian,ID,1.0,03/01/2022,1220.0
24,Asian,ID,1.0,03/02/2022,1220.0
25,Asian,ID,1.0,03/03/2022,1220.0
26,Asian,ID,1.0,03/04/2022,1220.0
27,Asian,ID,1.0,03/05/2022,1220.0
28,Asian,ID,1.0,03/06/2022,1220.0
29,Asian,ID,1.0,03/07/2022,1220.0
30,Asian,ID,1.0,03/08/2022,1220.0
31,Asian,ID,1.0,03/09/2022,1220.0
32,Asian,ID,1.0,03/10/2022,1220.0
33,Asian,ID,1.0,03/11/2022,1220.0
34,Asian,ID,1.0,03/12/2022,1220.0
35,Asian,ID,1.0,03/13/2022,1220.0
36,Asian,ID,1.0,03/14/2022,1220.0
37,Asian,ID,1.0,03/15/2022,1220.0
38,Asian,ID,1.0,03/16/2022,1220.0
39,Asian,ID,1.0,03/17/2022,1220.0
40,Asian,ID,1.0,03/18/2022,1220.0
41,Asian,ID,1.0,03/19/2022,1220.0
42,Asian,ID,1.0,03/20/2022,1220.0
43,Asian,ID,1.0,03/21/2022,1220.0
44,Asian,ID,6.0,02/28/2022,1220.0
45,Asian,ID,6.0,03/01/2022,1220.0
46,Asian,ID,10.0,02/28/2022,1220.0
47,Asian,ID,10.0,03/01/2022,1220.0
48,Asian,ID,10.0,03/02/2022,1220.0
49,Asian,ID,10.0,03/03/2022,1220.0
50,Asian,ID,10.0,03/04/2022,1220.0
51,Asian,ID,10.0,03/05/2022,1220.0
52,Asian,ID,10.0,03/06/2022,1220.0
53,Asian,ID,10.0,03/07/2022,1220.0
54,Asian,ID,10.0,03/08/2022,1220.0
55,Asian,ID,10.0,03/09/2022,1220.0
56,Asian,ID,10.0,03/10/2022,1220.0
57,Asian,ID,10.0,03/11/2022,1220.0
58,Asian,ID,10.0,03/12/2022,1220.0
59,Asian,ID,10.0,03/13/2022,1220.0
60,Asian,ID,10.0,03/14/2022,1220.0
